Temperature (K)	Bridge 1 Resistance (Ohms)
300.002090454102	3.27430377006531
298.940795898438	3.2494916343689
297.811401367188	
300.016006469727	16.0541198348999
298.886657714844	15.4682299423218
297.903793334961	14.9421394729614
296.809600830078	13.0496054458618
295.767044067383	13.5175680923462
294.663192749023	13.8915256881714
293.644409179688	13.6864973831177
292.624954223633	13.4716021347046
291.611450195313	13.3666814804077
290.661499023438	13.1954616928101
289.599151611328	13.0275012588501
288.690811157227	12.9002696990967
287.581405639648	12.7595578765869
286.710754394531	12.6989166259766
285.815811157227	12.4920097351074
284.822952270508	12.2164628601074
283.767501831055	12.0544931793213
282.745101928711	11.845286026001
281.778991699219	11.6456692886353
280.802551269531	11.2905511474609
279.750045776367	10.5048382568359
278.758255004883	10.3313742446899
277.783294677734	10.1682975387573
276.777801513672	10.0397326660156
275.793655395508	9.93945922851563
274.799194335938	9.81267757415771
273.749649047852	9.56333110809326
272.877960205078	9.45987255096436
271.784301757813	9.26668758392334
270.727844238281	9.19842266082764
269.796813964844	9.1692147064209
268.781036376953	9.10140102386475
267.829147338867	9.03356430053711
266.769546508789	8.95085254669189
265.704849243164	8.90373882293701
264.748687744141	8.85857128143311
263.774505615234	8.78864967346191
262.829406738281	8.71756130218506
261.775192260742	8.65961433410645
260.717193603516	8.61482425689697
259.83918762207	8.58779823303223
258.818801879883	8.51289608001709
257.775299072266	8.43863986968994
256.886108398438	8.32063976287842
255.723197937012	8.2664571762085
254.781005859375	8.24734825134277
253.798347473145	8.19608200073242
252.786598205566	8.11962783813477
251.79084777832	7.95846824645996
250.787498474121	7.89133108139038
249.588996887207	7.80316665649414
248.636947631836	7.75958772659302
247.794296264648	7.68716588973999
246.784950256348	7.60383041381836
245.755195617676	7.53107095718384
244.72534942627	7.48607004165649
243.783500671387	7.43820371627808
242.810401916504	7.37478733062744
241.845603942871	7.29312126159668
240.806297302246	7.22374496459961
239.712852478027	7.18593030929565
238.829002380371	7.13324058532715
237.821395874023	7.05199052810669
236.817649841309	6.97609186172485
235.778846740723	6.91295639038086
234.762199401855	6.8467723274231
233.575347900391	6.80277948379517
232.748497009277	6.76422557830811
231.846801757813	6.73544076919556
230.776405334473	6.68297189712524
229.760894775391	6.63621448516846
228.771903991699	6.58387300491333
227.775405883789	6.53078765869141
226.745300292969	6.49327236175537
225.882553100586	6.44819204330444
224.734603881836	6.39788747787476
223.743148803711	6.3608670425415
222.799301147461	6.30019680023193
221.758506774902	6.21934230804443
220.789352416992	6.14151054382324
219.736747741699	6.08839412689209
218.680549621582	6.03416940689087
217.661399841309	5.99204753875732
216.821449279785	5.96928203582764
215.76155090332	5.88937913894653
214.759246826172	5.84200466156006
213.759750366211	5.78090160369873
212.766700744629	5.73065872192383
211.778900146484	5.65441692352295
210.793998718262	5.59076221466064
209.816802978516	5.54401092529297
208.761604309082	5.46363399505615
207.685653686523	5.43759531021118
206.820152282715	5.40720518112183
205.792953491211	5.37630342483521
204.846046447754	5.34267677307129
203.784103393555	5.31681846618652
202.721054077148	5.29463487625122
201.648849487305	5.2665327835083
200.717697143555	5.24553295135498
199.806953430176	5.20771215438843
198.748001098633	5.17476987838745
197.689399719238	5.14847709655762
196.827346801758	5.13943050384522
195.779296875	5.11565998077393
